car_id	vel	pos_x	pos_y	pvel	ppos_x	ppos_y	prob
48183_48183_365_0	8.53792327468368	17079.9648139437	20038.4011865998	8.72338883216112	17071.8753019452	20038.2765718499	0.6640536043164481
48183_48183_365_0	8.58679934822108	17088.100635047	20038.5265147175	8.72338883216112	17071.8753019452	20038.2765718499	0.6658809367603333
48183_48183_365_0	8.98306326906281	17096.611908311	20038.6576264817	8.72338883216112	17071.8753019452	20038.2765718499	0.6807827865755309
40216_40216_360_0	11.4082905003106	17128.9004831193	20086.9867371379	12.241564939381	17129.137670267	20097.5024910302	0.6310311261818815
48183_48183_365_0	8.99800963723651	17105.1373429608	20038.7889563947	8.72338883216112	17071.8753019452	20038.2765718499	0.681347844750066
40216_40216_360_0	11.4630960452141	17128.662156522	20076.4204654558	12.241564939381	17129.137670267	20097.5024910302	0.6334840584371183
48183_48183_365_0	8.81771122199102	17113.4919484585	20038.9176547729	8.72338883216112	17071.8753019452	20038.2765718499	0.6745459387504523
40216_40216_360_0	12.0903998110447	17128.4107877962	20065.2759676129	12.241564939381	17129.137670267	20097.5024910302	0.6618905980083587
48183_48183_365_0	7.91933477193906	17120.9925665163	20038.8058973393	8.72338883216112	17071.8753019452	20038.2765718499	0.6411345406815326
40216_40216_360_0	12.1464300476018	17128.1582541587	20054.0798231033	12.241564939381	17129.137670267	20097.5024910302	0.6644568033309337
48183_48183_365_0	3.41933477193906	17124.2132187208	20038.4604760484	8.72338883216112	17071.8753019452	20038.2765718499	0.4872117216923725
40216_40216_360_0	11.5491549685834	17127.9181383301	20043.4342253856	12.241564939381	17129.137670267	20097.5024910302	0.6373452922726931
48183_48183_365_0	0.26294830874568	17124.4607064496	20038.431589468	8.72338883216112	17071.8753019452	20038.2765718499	0.3941227744763417
46890_46890_364_0	4.79850280570634	17074.6017773421	20038.3185717938	5.24419917314615	17070.0552916485	20038.2485355323	0.6574444058625702
46890_46890_364_0	5.11150468049407	17079.4448260687	20038.3931764554	5.24419917314615	17070.0552916485	20038.2485355323	0.6683289661448261
46890_46890_364_0	5.7799723886589	17084.921234615	20038.4775376977	5.24419917314615	17070.0552916485	20038.2485355323	0.6918545030190126
46890_46890_364_0	4.91161455914214	17089.5748914388	20038.549224875	5.24419917314615	17070.0552916485	20038.2485355323	0.6613680081402025
46890_46890_364_0	5.05297678803861	17094.3624861548	20038.6229752964	5.24419917314615	17070.0552916485	20038.2485355323	0.6662872182551418
46890_46890_364_0	5.85464691770565	17099.9096473278	20038.7084264462	5.24419917314615	17070.0552916485	20038.2485355323	0.6945056245994237
46890_46890_364_0	5.8757631785639	17105.4768157369	20038.7941857973	5.24419917314615	17070.0552916485	20038.2485355323	0.6952561273719625
46890_46890_364_0	5.29264329047244	17110.4914896833	20038.8714342567	5.24419917314615	17070.0552916485	20038.2485355323	0.6746666046658369
46890_46890_364_0	5.0263557368128	17115.2538614842	20038.9447961321	5.24419917314615	17070.0552916485	20038.2485355323	0.665359519363782
46890_46890_364_0	5.73071288999006	17120.6810161174	20038.8183593553	5.24419917314615	17070.0552916485	20038.2485355323	0.6901081762841541
57295_57295_374_0	14.9752490068852	17128.7153364749	20078.7782125018	15.0821745096073	17129.0266834378	20092.5818610877	0.6620786117718633
57295_57295_374_0	15.8458963060818	17128.385888084	20064.1720323951	15.0821745096073	17129.0266834378	20092.5818610877	0.7157888775865882
57295_57295_374_0	14.9053858974083	17128.075993629	20050.4327811233	15.0821745096073	17129.0266834378	20092.5818610877	0.6578506793905773
41501_41501_361_0	10.1798248591051	17128.931083334	20088.3434056188	9.44588467098401	17129.1427297348	20097.7268038485	0.6991868763601127
41501_41501_361_0	10.4641759725204	17128.7135250546	20078.6979027094	9.44588467098401	17129.1427297348	20097.7268038485	0.7104248056567082
41501_41501_361_0	10.4593189554438	17128.4960677563	20069.0568768245	9.44588467098401	17129.1427297348	20097.7268038485	0.7102321958515565
34062_34062_352_0	10.0435647438982	17128.8937194086	20086.6868662666	10.7713880735846	17129.1025328566	20095.9446647987	0.6398784923606022
41501_41501_361_0	10.5536805659216	17128.2766486074	20059.3288717841	9.44588467098401	17129.1427297348	20097.7268038485	0.7139782229149982
